 --- BEGIN HEADER ---
 Mass input into layers of the atmosphere by planetesimal breakup.
 Columns:
 [Height (cm)]  [mass input (g/cm^3/s)]
 --- END HEADER ---
 
 --- BEGIN DATA ---
   1921600000.00000        0.00000000000000     
   1894600000.00000        0.00000000000000     
   1869600000.00000        0.00000000000000     
   1853700000.00000        0.00000000000000     
   1836800000.00000        0.00000000000000     
   1818900000.00000        0.00000000000000     
   1809400000.00000        0.00000000000000     
   1798500000.00000        0.00000000000000     
   1790800000.00000        0.00000000000000     
   1781000000.00000        0.00000000000000     
   1771900000.00000        0.00000000000000     
   1766200000.00000        0.00000000000000     
   1758900000.00000        0.00000000000000     
   1750300000.00000        0.00000000000000     
   1746600000.00000        0.00000000000000     
   1742300000.00000        0.00000000000000     
   1740000000.00000        0.00000000000000     
   1736300000.00000        0.00000000000000     
   1733900000.00000        0.00000000000000     
   1731100000.00000        0.00000000000000     
   1729700000.00000        0.00000000000000     
   1728600000.00000        0.00000000000000     
   1727600000.00000        0.00000000000000     
   1727100000.00000        0.00000000000000     
   1726500000.00000        0.00000000000000     
   1726300000.00000        0.00000000000000     
   1726100000.00000        0.00000000000000     
   1726000000.00000        0.00000000000000     
